a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
mound,[maund],"n.土墩,护堤,垛;vt.筑堤,堆起;vi.积成堆,隆起", 
mount,[maunt],"n.乘用马,衬纸,山,装配;vi.乘马,爬上,增长;vt.爬上,使上马,装上,设置,安放,制作...的标本,上演",mounte（登高，山丘）＋bank（＝bench椅子）→登上椅子叫卖→江湖郎中 
mountaineering,[maunti5niEriN],n.登山, 
mountainous,[5mauntinEs],"adj.多山的,山一般的,巨大的", 
mountainside,[5mauntinsaid],"n.山腹,山腰", 
mourn,[mC:n],"v.哀悼,忧伤,服丧", 
mourner,[5mC:nE],"n.悲伤者,哀悼者,忏悔者", 
mournful,[5mC:nful],adj.悲哀的, 
mourning,[5mC:niN],"n.悲恸,服丧", 
mouthpiece,[5mauWpi:s],"n.话筒,代言人,乐器的吹口", 
movable,[5mu:vEbl],"adj.[亦作moveable]活动的,变动的", 
mow,[mau],"n.干草堆,谷堆;v.刈,扫除,收割庄稼,扫倒", 
muddle,[5mQdl],"vt.混合,使微醉,使咬字不清晰,鬼混;vi.胡乱对付;n.困惑,混浊状态,糊涂",mud（泥浆）＋dle→混入泥浆→混乱 
muddle,[5mQdl],"vt.混合,使微醉,使咬字不清晰,鬼混;vi.胡乱对付;n.困惑,混浊状态,糊涂",mud（泥浆）＋dle→混入泥浆→混乱 
muddle,[5mQdl],"vt.混合,使微醉,使咬字不清晰,鬼混;vi.胡乱对付;n.困惑,混浊状态,糊涂",mud（泥浆）＋dle→混入泥浆→混乱 
muddle,[5mQdl],"vt.混合,使微醉,使咬字不清晰,鬼混;vi.胡乱对付;n.困惑,混浊状态,糊涂",mud（泥浆）＋dle→混入泥浆→混乱 
muddy,[5mQdi],"adj.多泥的,泥泞的", 
muffle,[5mQfl],"v.包,蒙住,压抑(声音);n.围巾,头巾,消声器", 
mufti,[5mQfti],"n.便服,便衣,法学家", 
multicultural,[],adj.多文化的, 
multilateral,[5mQlti5lAtErEl],"adj.多边的,多国的", 
multimedia,[5mQlti5mi:djE],"n.多媒体,多媒体的采用", 
multinational,[mQlti5nAFEn(E)l],"adj.多国的,跨国公司的,多民族的;n.多国籍公司,跨国公司", 
multiple,[5mQltipl],"adj.多样的,多重的;n.倍数,若干;v.成倍增加", 
multiplication,[7mQltipli5keiFEn],"n.[数]乘法,增加,(动,植的)繁殖,增殖", 
multiply,[5mQltipli],"v.繁殖,乘,增加", 
multitude,[5mQltitju:d],"n.多数,群众",multi（多）＋itude→多的状态→多数，大众 
mumble,[5mQmbl],"n.喃喃而语,咕哝,闭嘴细嚼;v.喃喃而语,咕哝", 
mummify,[5mQmifai],"vi.成木乃伊状,干瘪;vt.使干瘪,使成木乃伊", 
mummy,[5mQmi],"n.[小儿语]妈咪,[口头语]妈妈,木乃伊,干瘪的人", 
mundane,[5mQndein],"adj.世界的,世俗的,平凡的", 
municipal,[mju(:)5nisipEl],"adj.市政的,市立的,地方性的,地方自治的", 
munificent,[mju(:)5nifisnt],"adj.宽宏的,慷慨的",muni（礼物）＋ficent（做…的）→为别人做礼物→慷慨的*参考：beneficent（行善的） 
muniment,[5mju:nimEnt],"n.防卫手段,土地所有权凭证",muni（礼物，加强）＋ments→加强买卖关系的东西→契据 
munition,[mju(:)5niFEn],n.军需品;vt.供给军需品,muni（礼物，加强）＋tion→送给敌人的礼物→军火 
murderous,[5mE:dErEs],"adj.杀人的,造成死亡的,<口>非常危险的(或困难,难受)的", 
murk,[mE:k],n.黑暗,来自murk（黑暗），murk（可看作mur墙） 
murmur,[5mE:mE],"n.低沉连续的声音,咕哝,怨言,低语;v.发低沉连续的声音,发怨言,低声说,低语",象声词：mur—mur 
muscle,[5mQsl],"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌", 
muscular,[5mQskjulE],"adj.肌肉的,强健的", 
muse,[mju:z],v.沉思;n.[希神]缪斯女神,联想*记忆：Muse（希腊神话中缪斯女神） 
mustard,[5mQstEd],"n.芥菜,芥末,芥末色,芥子气", 
mutable,[5mju:tEbl],"adj.易变的,性情不定的",im（不）＋mut（变化）＋able→不变的*同根词：mutation（变化），commute（交换，改变） 
mutation,[mju(:)5teiFEn],"n.变化,转变,元音变化,(生物物种的)突变",mut（变）＋ation→变化*同根词：immutable（不可变的） 
mute,[mju:t],"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器;adj.哑的,无声的,沉默的;vt.减弱...的声音;vi.排泄", 
mutilate,[5mju:tileit],v.毁伤,mutil（砍掉）＋ate*参考：maim（伤残） 
mutilation,[],"n.切断,毁损", 
mutinous,[5mju:tinEs],"adj.暴动的,反抗的", 
mutiny,[5mju:tini],"n.兵变,反抗;v.叛变,造反,兵变", 
mutter,[5mQtE],"n.咕哝,嘀咕;v.咕哝,嘀咕", 
mutual,[5mju:tjuEl75mju:tFuEl],"adj.相互的,共有的", 
mutually,[`mju:tFuEli7-tjuEli],"adv.互相地,互助", 
muzzy,[5mQzi],"adj.头脑发昏的,无精神的,酩酊的", 
myopia,[mai5EupiE],n.近视,myo（肌肉）＋op（光，眼）＋ia→眼病→近视*同根词：optometrist（验光师） 
myriad,[5miriEd],"n.无数,无数的人或物,<诗>一万;adj.无数的,一万的,种种的",myria（许多）＋d*参考：myriadminded（多才多艺的） 
mysterious,[mis5tiEriEs],adj.神秘的, 
mystery,[5mistEri],"n.神秘,神秘的事物", 
myth,[miW],"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法", 
mythical,[5miWikEl],"adj.神话的,虚构的", 
mythological,[miWE5lCdVikEl],"adj.神话学的,神话的,虚构的", 
mythology,[mi5WClEdVi],n.神话, 
nail,[neil],"n.指甲,钉,钉子;vt.钉,将...钉牢", 
naive,[nB:5i:v],adj.天真的,来自naive（天真的）。源自native（自然的），也写作naivete。 
naively,[],"adv.天真烂漫地,无邪地", 
naivety,[nB:5i:vti],"n.天真烂漫,无邪的行为", 
naked,[5neikid],"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的", 
namely,[5neimli],"adv.即,也就是", 
nap,[nAp],"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马", 
nark,[nB:k],"n.<俚>警察的线民,密探;v.作线民,密告", 
narrate,[nA5reit],"v.叙述,讲述,作解说,讲故事", 
narration,[nA5reiFEn],n.叙述, 
narrative,[5nArEtiv],adj.叙述性的;n.叙述, 
narrator,[],n.讲述者，叙述者, 
narrow,[5nArEu],"n.狭窄部分,海峡,隘路;adj.狭窄的,精密的,严密的,有限的,气量小的,勉强的,眼光短浅的;vi.变窄;vt.使变狭窄,使缩小", 
narrow-minded,[5nArEu5maindid],"adj.气量小的,小心眼的", 
narrowly,[5nArEuli],"adv.勉强地,精细地", 
narrowness,[],"n.狭小,小气", 
nascent,[5nAsnt],adj.初生的,nasc（出生）＋ent→出生的*同根词：renascent（复活的），nascency（诞生，起源） 
nasty,[5nAsti],"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的", 
nationalism,[5nAFEnElizEm],"n.民族主义,国家主义,民族之特性,民族独立运动", 
nationality,[7nAFE5nAliti],"n.国籍,国家,部落,民族,民族性", 
nationwide,[`neiFEnwaid],adj.全国性的, 
native,[5neitiv],"n.本地人,土产,土人;adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的", 
natter,[5nAtE],"vi.唠叨,瞎扯", 
natural,[5nAtFErEl],"adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的;本位号",preter(超过)＋natural（自然的)*同根词:preterlegal（超越法律)pretersensual(超感觉的) 
naturalization,[nAtFErElai5zeiFEn],"n.移入,移植", 
naturalize,[5nAtFErElaiz],"v.使入国籍,移植", 
naturally,[5nAtFErEli],adv.自然地, 
naughty,[5nC:ti],"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的", 
nautical,[5nC:tikEl],"adj.船员的,船舶的,海上的,航海的,海军的",naut（船）＋ical→航海的*同根词：astronaut（宇航员），navy（海军） 
naval,[5neivEl],adj.海军的, 
navigable,[5nAvigEbl],adj.适于航行的, 
navigate,[5nAvigeit],"vi.航行,航海,航空;vt.航行于,驾驶,操纵,使通过", 
navigation,[7nAvi5geiFEn],"n.航海,航空,导航,领航,航行", 
navigator,[5nAvigeitE],n.航海家;Netscape公司出品的WEB浏览器, 
navy,[5neivi],n.海军, 
neat,[ni:t],"adj.整洁的,灵巧的,优雅的,(酒)纯的,未搀水的", 
neatly,[],"adv.整洁地,优美的,巧妙的,[酒类]纯的", 
necessarily,[5nesisErili;nesi5serili],adv.必要地, 
necessary,[5nesisEri],"n.必需品;adj.必要的,必需的,必然的", 
necessitate,[ni5sesiteit],v.成为必要, 
necessity,[ni5sesiti],"n.必要性,需要,必需品", 
nefarious,[ni5fZEriEs],"adj.邪恶的,穷凶极恶的",ne（＝not）＋far（公正）＋ious→不公正的→违法的 
negate,[ni5geit],"vt.否定,打消", 
negation,[ni5geiFEn],"n.否定,拒绝",ab＋neg（反对，否认）＋ation→反对自己放纵→克制*同根词：negative（消极的，否认的） 
negative,[5negEtiv],"n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)", 
negatively,[5negEtivli],"adv.否定地,消极地", 
neglect,[ni5glekt],"vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做", 
neglectful,[ni5glektful],adj.忽略的, 
negligence,[5neglidVEns],n.疏忽,neg（不）＋lig（选择）＋ence→不加选择→大意 
negligent,[5neglidVEnt],"adj.疏忽的,粗心大意的", 
negligible,[5neglidVEbl],"adj.可以忽略的,不予重视的",neg（不）＋lig（选择）＋ible→可以不选择的 
negotiable,[ni5gEuFjEbl],adj.可通过谈判解决的,来自negotiate（谈判，磋商），neg（不）＋oti（空闲）＋ate→不空闲→处理，谈判 
negotiate,[ni5gEuFieit],"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过", 
negotiation,[ni7gEuFi5eiFEn],"n.商议,谈判,流通", 
negotiator,[ni5gEuFieitE],n.谈判代表, 
neighbour,[5neibE],n.邻居(美作：neighbor), 
neighbourhood,[5neibEhud],n.邻居关系(美作：neighborhood), 
neighbouring,[5neibEriN],"adj.附近的,毗邻的", 
nephew,[5nevju(:)75nefju(:)],"n.侄子,外甥", 
nepotism,[5nepEtizEm],"n.偏袒,起用亲戚,裙带关系",nepot（＝nephew侄甥）＋ism→裙带关系*参考：nepotistic（任人唯亲的） 
nerve,[nE:v],"n.神经,胆量,勇气,叶脉;vt.鼓起勇气", 
nervous,[5nE:vEs],"adj.神经紧张的,不安的,强健有力的", 
nest,[nest],"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具;vi.筑巢,找鸟巢;vt.造巢,使套入",a＋mnes（*记忆）＋ty→不再*记→赦免 
nestle,[5nesl],"vi.舒适地坐定,偎依;vt.抱,安置",nest（鸟窝）＋le→象鸟一样安顿 
net,[net],"n.网,网络,网状物,净利,实价;adj.净余的,纯粹的;vt.用网捕,净赚,得到;vi.编网;[域]Nerworkoperationsandservicecenters,网络服务商",bon（好）＋net→好东西→帽子*同根词：bonny（吸引人的），bonus（奖金） 
network,[5netwE:k],"n.网络,网状物,广播网", 
neurology,[njuE5rClEdVi],"n.神经学,神经病学",neur（神经）＋ology（学科） 
neurosis,[njuE5rEusis],"n.神经症,神经衰弱症",neur（神经）＋osis（病）→精神病 
neurotic,[njuE5rCtik],"n.神经病患者;adj.神经质的,神经病的", 
neuter,[5nju:tE],"adj.中性的,不及物的,(生物)无性的;n.中性名词,无性动物,阉割动物", 
neutral,[5nju:trEl],"n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的", 
neutrality,[nju:5trAliti],"n.中立,中性", 
neutralize,[5nju:trElaiz;(uF)nu:-],v.压制,来自neuter（中性的，无性的）＋al→中间的 
neutron,[5nju:trCn],n.中子, 
nevertheless,[7nevETE5les],"conj.然而,不过;adv.仍然,不过", 
newsletter,[`nju:zAletE(r)],n.时事通讯, 
nexus,[5neksEs],"n.连结,关系",nex（＝nect连系）＋us→连结 
nibble,[5nibl],"n.半位元组,细咬,轻咬,啃;v.一点一点地咬,细咬,吹毛求疵",nib（小）＋ble→小咬→一点点啃。注意不要和nipple（乳头）相混 
niche,[nitF],n.小生境, 
nick,[nik],"n.刻痕,缺口;vt.刻痕于,挑毛病;vi.阻击",单词finical的变体，来自fine（精细的）＋ical→精细的→挑剔的 
nifty,[5nifti],"adj.俏皮的,极好的;n.俏皮话,漂亮话", 
niggard,[5nigEd],"n.小气鬼;adj.小气的,吝啬的",nig（小，小气）＋gard→小气之人。*参考：sluggard（懒鬼） 
nightclothes,[5naitklEuTz],n.睡衣, 
nightclub,[5naitklQb],n.夜总会, 
nightdress,[5naitdres],女睡衣, 
nightfall,[5naitfC:l],n.黄昏, 
nightgown,[],n.女睡衣, 
nightmare,[5naitmZE(r)],"n.梦魇,恶梦,可怕的事物",组合词：night＋mare（母马，恶魔）*参考：mare（母马） 
nightmarish,[`naitAmZEriF],"adj.恶梦似的,不愉快的", 
nimble,[5nimbl],adj.敏捷的,来自nim（偷窃），偷窃需要手脚灵活 
nitty-gritty,[5niti5griti],"n.事实真相,本质", 
nobility,[nEu5biliti],n.高贵, 
noble,[5nEubl],"adj.高尚的,贵族的,高贵的;n.贵族",ig（不）＋noble（高贵）→不高贵的→下流的 
nod,[nCd],"v.点头,点...;n.点头",an＋odyne（痛）→不痛→止痛药 
nomad,[5nCmEd75nEumAd],"n.游牧部落的人,流浪者,游牧民;adj.游牧的", 
nomadic,[nEu5mAdik],adj.游牧的, 
nominal,[5nCminl],"adj.名义上的,有名无实的,名字的,[语]名词性的;n.名词性词",nomin（名称）＋al→名义上的 
nominate,[5nCmineit],"vt.提名,推荐,任命,命名", 
nomination,[nCmi5neiFEn],n.任命,．de＋nomin（名称）＋ate→给予名称→命名*同根词：nominate（提名），nominal（名义上的） 
nonentity,[nC5nentiti],n.不存在,non＋entity（存在）→不存在→无能之人 
nonsense,[5nCnsEns],"n.胡说,废话", 
noodle,[5nu:dl],"n.面条(常用复数),笨蛋,傻瓜", 
norm,[nC:m],"n.标准,规范",ab＋norm（标准）＋al→不正常的，注意比较：anomaly（反常） 
normal,[5nC:mEl],"n.正规,常态,[数学]法线;adj.正常的,正规的,标准的",ab＋norm（标准）＋al→不正常的，注意比较：anomaly（反常） 
normality,[nC:5mAliti],n.常态, 
normalization,[7nC:mElai5zeiFEn],"n.正常化,标准化", 
normalize,[5nC:mElaiz],v.规格化, 
normally,[5nC:mEli],"adv.正常地,通常地", 
nostalgia,[nCs5tAldViE],"n.思家病,乡愁,向往过去,怀旧之情",nost（家）＋alg（痛）＋ia→想家病*参考：nostomania（怀乡狂） 
nostalgic,[nC`stAldVik7nE-],"adj.乡愁的,怀旧的", 
notary,[5nEutEri],n.公证人, 
notice,[5nEutis],"n.通知,布告,注意;v.注意到", 
noticeable,[5nEutisEbl],"adj.显而易见的,值得注意的", 
notifiable,[5nEutifaiEbl],adj.须申报的, 
notification,[7nEutifi5keiFEn],"n.通知,布告,告示", 
notify,[5nEutifai],v.通报,not（＝note知道）＋ify→使人知道 
notion,[5nEuFEn],"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物", 
notional,[5nEuFEnEl],"adj.概念的,想象的,[语]表意的,实义的", 
notoriety,[7nEtE5raiEti],"n.恶名,丑名,声名狼藉,远扬的名声",not（知道）＋oriety（多）→人所共知 
notorious,[nEu5tC:riEs],adj.声名狼籍的, 
notwithstanding,[7nCtwiW5stAndiN],"prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管", 
nought,[nC:t],"n.无,零", 
nourish,[5nQriF],"vt.滋养,使健壮,怀有(希望,仇恨等)", 
nourishing,[5nQriFiN],"adj.有营养的,滋养多的", 
nourishment,[5nQriFmEnt],"n.食物,营养品", 
novel,[5nCvEl],"n.小说,长篇故事;adj.新奇的,新颖的,异常的",novelette（中篇小说）＋ish→中篇小说的→言情的 
novelist,[5nCvElist],n.(长篇)小说家, 
novelty,[5nCvElti],"n.新颖,新奇,新鲜,新奇的事物",novel（新的）＋ty 
novice,[5nCvis],"n.新手,初学者",nov（新）＋ice→新手*参考：neophyte（新手） 
novice,[5nCvis],"n.新手,初学者",nov（新）＋ice→新手*参考：neophyte（新手） 
noxious,[5nCkFEs],adj.有害的,nox（毒）＋ious→有毒的*参考：nocuous（有害的） 
nuclear,[5nju:kliE],"adj.[核]核子的,原子能的,核的,中心的", 
nucleus,[5nju:kliEs],"[nuclear的复数,见nuclear];n.核子", 
nugatory,[5nju:gEtEri],"adj.无价值的,没有力量的,无效的",来自nugae（无价值的东西）＋tory→无价值的 
nuisance,[5nju:sns],"n.讨厌的人或东西,麻烦事,损害", 
null,[nQl],"adj.无效力的,无效的,无价值的,等于零的;n.零,空,零迅号", 
numb,[nQm],adj.麻木的;v.失去知觉,number去掉er成为numb 
numerical,[nju(:)5merikEl],"adj.数字的,用数表示的;adj.数字的,用数字表示的", 
numerous,[5nju:mErEs],"adj.众多的,许多的,无数的", 
numismatics,[7nju:mis5mAtiks],"n.钱币学,奖章类的研究", 
nursery,[5nE:sEri],n.托儿所, 
nurture,[5nE:tFE],"n.养育,教育,教养,营养品;vt.养育,给与营养物,教养", 
nut,[nQt],"n.坚果,螺母,螺帽,难解的问题",diminu（小）＋tive→小的 
nutrient,[5nju:triEnt],adj.有营养的, 
nutriment,[5nju:trimEnt],n.营养品, 
nutrition,[nju:5triFEn],"n.营养,营养学", 
nutritional,[nju:`triFEnEl],"adj.营养的,滋养的", 
nutritious,[nju:5triFEs],"adj.有营养成分的,营养的", 
nylon,[5nailEn],n.尼龙, 
oak,[Euk],"n.[植]橡树,橡木;adj.橡木制的", 
oar,[C:7CE],"n.桨,橹",和board（木板）一起*记，把东西藏在木板后（hoardsomethingbehindtheboard） 
oasis,[Eu5eisis],"n.(沙漠中)绿洲,舒适的地方", 
oat,[Eut],"n.[植]燕麦,麦片粥",bloat＝blow（吹）常考同义词：swollen 
oath,[5EuW],"n.誓言,宣誓,诅咒",来自loath（不愿意的，厌恶的），分割*记忆：l（看作leave）＋oath（誓言）→发誓离开→憎恨 
oatmeal,[5Eutmi:l],"n.(燕)麦片,(燕)麦粥", 
obdurate,[5Cbdjurit],"adj.冷酷无情的,顽固的,执拗的",ob（反）＋dur（坚韧）＋ate→很坚韧地对抗→固执的*参考：endure（忍耐） 
obedience,[E5bi:djEns7-diEns],"n.服众,顺从", 
obedient,[E5bi:djEnt7-diEnt],"adj.服从的,孝顺的",来自obey（服从）＋dient→服从的 
obediently,[Eu`bi:diEntli],"adv.服从地,顺从地,忠顺地", 
obese,[Eu5bi:s],"adj.肥胖的,肥大的", 
obesity,[Eu5bisiti],"n.肥胖,肥大", 
obey,[E5bei],"v.服从,顺从", 
obfuscate,[5CbfQskeit],"vt.使模糊,使迷乱",ob（走向）＋fusc（黑暗，糊涂）＋ate→弄糊涂*同根词：fuscous（深色的） 
