abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
official,[E5fiFEl],"n.官员, 公务员//adj.职务上的, 公务的, 官方的, 正式的"
often,[5C(:)fn; 5C:ftEn],"adv.常常, 经常"
oh,[Eu],"int.[表示惊讶、害怕等] 哦, 哎哟"
oil,[Cil],"n.油, 石油, 油类//vt.给(机器等)加油, 上油, 涂油"
okay,[Eu5kei],"n.认可, 赞同//adj.好的"
old,[Euld],"adj.年老的, 老的, ...岁的, 陈旧的, 古老的"
omit,[Eu5mit],"vt.省略, 疏忽, 遗漏"
on,[Cn],"prep.在...之上, 依附于, 临近, 靠近, 向, 在...时候, 关于, 涉及//adv.在上, 向前, 行动中, 作用中"
once,[wQns],"n.adv.一次, 从前, 曾经//conj.一旦"
one,[wQn],"pron.一个人, 任何人, 一方//num.一, 一个//adj.一方的, 某一, 同样的"
oneself,[wQn5self],"pron.自己, 亲自"
onion,[5QnjEn],"n.洋葱//vt.加洋葱于, 因洋葱掉泪"
only,[5Eunli],"adj.唯一的, 单独的, 最好的, 最合适的//adv.仅仅, 只不过//conj.但是, 可是"
onto,[5Cntu],prep.在...之上
open,[5EupEn],"n.公开, 户外, 空旷//adj.开着的, 敞开的, (车等)无篷的, 开阔的, 营业着的, 公开的, 坦率的, 未决定的//vt.打开, 公开, 开放//vi.展开, 开始, 展现"
opening,[5EupniN],"n.开, 开放, 开始, 口子, 穴, 通路, 空缺, 机会//adj.开始的, 开幕的"
opera,[5CpErE],n.歌剧
operate,[5CpEreit],"v.操作, 运转, 开动, 起作用, 动手术, 开刀//n.[军]作军事行动"
operation,[7CpE5reiFEn],"n.运转, 操作, 实施, 作用, 业务, 工作, 手术, 军事行动"
operational,[7CpE5reiFEnl],"adj.操作的, 运作的"
operator,[5CpEreitE],"n.操作员, 工作者, (电话)接线员, 报务员, 手术员, 行家, 经营者, 算子"
opinion,[E5pinjEn],"n.意见, 看法, 主张, 判断, 评价"
opponent,[E5pEunEnt],"adj.对立的, 对抗的//n.对手, 反对者"
opportunity,[7CpE5tju:niti],"n.机会, 时机"
oppose,[E5pEuz],"vt.反对, 使对立, 使对抗, 抗争//vi.反对"
opposite,[5CpEzit],"adj.相对的, 对面的, 对立的, 相反的, 对等的, 对应的//n.相反的事物"
optical,[5CptikEl],"adj.眼的, 视力的, 光学的"
optimistic,[7Cpti5mistik],adj.乐观的
optional,[5CpFEnEl],"adj.可选择的, 随意的"
or,[C:;E],"conj.或, 或者, 还是//abbr.[军] Operational Requirement, 作战需求//abbr.[军] Operations Research, 运筹学研究"
oral,[5C:rEl],adj.口头的
orange,[5CrindV],"n.柑, 桔, 橙, 橙色"
orbit,[5C:bit],"n.轨道, 势力范围, 生活常规, 眼眶//vt.绕...轨道而行//vi.进入轨道, 沿轨道飞行, 盘旋"
orchestra,[5C:kistrE; -kes-],"n.管弦乐队, 乐队演奏处"
order,[5C:dE],"n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单//vt.命令, 定购, 定制"
orderly,[5C:dEli],"adj.有秩序的, 整齐的, 整洁的//n.传令兵, 勤务兵//adv.依次地, 顺序地"
ordinary,[5C:dinEri],"adj.平常的, 普通的, 平凡的//n.[律] 推事, <英>[宗]罪犯的忏悔牧师"
ore,[C:(r); 含有金属的岩石],"n.矿石, 含有金属的岩石"
organ,[5C:gEn],"n.[机]元件, 机构, 机关, 机关报//[乐]风琴, 管风琴, 嗓音//[生物]器官"
organic,[C:5gAnik],"adj.器官的, 有机的, 组织的, 建制的"
organism,[5C:gEnizEm],"n.生物体, 有机体"
organization,[7C:gEnai5zeiFEn],"n.组织, 机构, 团体"
organize,[5C:gEnaiz],"vt.组织, 使有机化, 给予生机//vi.组织起来"
origin,[5CridVin],"n.起源, 由来, 起因, 出身, 血统, [数]原点"
original,[E5ridVEnEl],"adj.最初的, 原始的, 独创的, 新颖的//n.原物, 原作"
other,[5QTE],"adj.其他的, 另外的, 从前的//pron.其他的, 他人, 另外一个//adv.另外地, 不同地"
otherwise,[5QTEwaiz],"adv.另外, 否则, 不同地, 别的方式//adj.另外的, 其他方面的"
ought,[C:t],"aux.(～ to [verb] ) 应当, 应该"
ounce,[auns],"n.盎司, 少量, [动]雪豹"
our,[5auE],pron.我们的
ours,[5auEz],pron.我们的
ourselves,[7auE5selvz],pron.我们自己
out,[aut],"adj.外面的, 下台的, 出局的//adv.在外, 出声地, 显露出来地, 明显地, 从头至尾地//n.外面, 外出, 外观//vt.赶出, 击倒, 使退场//vi.外出, 暴露//prep.通过"
outcome,[5autkQm],"n.结果, 成果"
outdoors,[aut5dC:z],"n.户外//adv.在户外, 在野外//adj.=outdoor"
outer,[5autE],"adj.外部的, 外面的, 远离中心的//n.(射击)环外命中"
outlet,[5autlet; -lit],"n.出口, 出路"
outline,[5Eutlain],"n.大纲, 轮廓, 略图, 外形, 要点, 概要//vt.描画轮廓, 略述"
outlook,[5autluk],"n.景色, 风光, 观点, 见解, 展望, 前景"
output,[5autput],"n.产量, 输出, 输出量"
outset,[5autset],"n.开端, 开始"
outside,[5aut5said],"n.外面, 外表, 外界//adj.外面的, 外表的, 外界的//adv.在外面, 外表, 出界//prep.在...外"
outstanding,[aut5stAndiN],"adj.突出的, 显著的"
outward,[5autwEd],"adj.外面的, 外表的, 公开的, 向外的, 外出的//adv.向外, 在外, 表面上n.外表, 周围世界"
oven,[5QvEn],"n.烤箱, 烤炉, 灶"
over,[5EuvE],"adv.结束, 越过, 从头到尾//prep.在...之上, 越过//adj.上面的//vt.额外的东西, 越过//n.额外的东西"
overall,[5EuvErC:l],"adj.全部的, 全面的"
overcoat,[5EuvEkEut],n.外套大衣
overcome,[7EuvE5kQm],"vt.战胜, 克服, 胜过, 征服//vi.得胜"
overhead,[5EuvEhed],"adj.在头上的, 高架的//n.企业一般管理费用, 天花板adv.在头顶上, 在空中, 在高处"
overlook,[7EuvE5luk],"vt.俯瞰, 耸出, 远眺, 没注意到//n.眺望, 俯瞰中的景色"
overnight,[5EuvE5nait],"n.头天晚上//adj.通宵的, 晚上的, 前夜的//adv.在前一夜, 整夜, 昨晚一晚上"
overseas,[5EuvE5si:z],"adv.海外//adj.外国的, 海外的"
overtake,[5EuvE5teik],"vt.赶上, 追上, (暴风雨、麻烦等)突然来袭, 压倒"
owe,[Eu],"vt.欠(债等), 受到...的思想, 感激, 把...归功于//v.欠,应感激,应该把…归功于(to)//vi.欠钱"
owl,[Eul],"n.[动]猫头鹰, 枭, 惯于晚上活动的人//Object Window Library, Borland C++ 的类库"
own,[Eun],"adj.自己的, 特有的, (不用所有格)嫡亲的, 同胞的//vt.拥有, 自认, 承认//vi.承认"
owner,[5EunE],"n.所有者, 业主"
ownership,[5EunEFip],"n.所有权, 物主身份"
ox,[Cks],"n.牛, 公牛"
oxygen,[5CksidVEn],n.[化]氧
pace,[peis],"n.(一)步, 速度, 步调, 步法, 步态//vi.踱步, 缓慢的走//vt.用步测, 踱步于, (马)溜花蹄"
pacific,[pE5sifik],"adj.和平的, 平静的//n.[the P～] 太平洋, [mid-～] 中太平洋"
pack,[pAk],"n.包裹, <贬>一群, 一副, 背包, 包装//vt.包装, 捆扎, 塞满, 压紧, 挑选//vi.包装货物, 挤, 群集, 被包装//背包"
package,[5pAkidV],"n.包裹, 包"
packet,[5pAkit],"n.小包裹, 小捆//v.包装//信息包"
pad,[pAd],"n.垫, 衬垫, 便笺簿//v.加上衬垫"
page,[peidV],"n.页, 记录, 事件, 专栏//vt.标明...的页数, 翻...的书页//vi.翻书页"
pain,[pein],"n.痛苦, 疼, 痛, 劳苦, 努力//vt.使痛苦"
painful,[5peinful],"adj.疼痛的, 使痛苦的"
paint,[peint],"n.油漆, 颜料, 涂料//v.油漆, (用颜料等)画, 绘, 描绘, 逼真地描述"
painter,[5peintE],"n.画家, 油漆匠"
painting,[5peintiN],"n.上油漆, 着色, 绘画, 油画//v.描绘"
pair,[pZE],"n.一对, 一双"
palace,[5pAlis],"n.宫, 宫殿"
pale,[peil],"n.栅栏, 界线, 范围, (围篱用的)尖板条//adj.苍白的, 暗淡的, 无力的//vi.变苍白, 失色//vt.使变苍白, 使失色, 用栅栏围"
palm,[pB:m],"n.手掌, 棕榈, (象征胜利的)棕榈叶//vt.与...握手, 藏...于掌中, 蒙混"
pan,[pAn],"n.平底锅, 盘子, 面板"
panel,[5pAnl],"n.面板, 嵌板, 仪表板, 座谈小组, 全体陪审员//vt.嵌镶板"
paper,[5peipE],"n.纸, 报纸, 文件, 证件, 论文, 考卷//vt.用纸糊(墙壁等), 用纸包装//adj.纸的, 象纸的, 纸上的"
parade,[pE5reid],"n.游行, 炫耀, 阅兵, 检阅, 阅兵场//v.游行, 炫耀, 夸耀, (使)列队行进"
paragraph,[5pArEgrB:f],"n.(文章)段, 节, 段落"
parallel,[5pArElel],"adj.平行的, 相同的, 类似的, 并联的//n.平行线, 平行面, 类似, 相似物//v.相应, 平行"
parcel,[5pB:sl],"n.小包, 包裹//vt.打包, 捆扎"
pardon,[5pB:dn],"vt.原谅, 宽恕//n.原谅, 宽恕"
parent,[5pZErEnt],"n.双亲, 父亲(或母亲)纸包装"
park,[pB:k],"n.公园, 停车场, 炮场//vt.停放(汽车等)平行线, 平行面, 类似, 相似"
parliament,[5pB:lEmEnt],"n.国会, 议会"
part,[pB:t],"n.部分, 局部, 零件, 角色//vt.分开, 分离, 分配//vi.分开, 断裂, 分手//adv.部分地, 有几分//adj.部分的, 局部的"
partial,[5pB:FEl],"adj.部分的, 局部的, 偏袒的, 偏爱的//n.泛音"
participate,[pB:5tisipeit],"vi.参与, 参加, 分享, 分担"
particle,[5pB:tikl],"n.粒子, 点, 极小量, 微粒, 质点, 小品词, 语气"
particular,[pE5tikjulE],"n.细节, 详细//adj.特殊的, 特别的, 独特的, 详细的, 精确的, 挑剔"
particularly,[pE5tikjulEli],"adv.独特地, 显著地"
partly,[5pB:tli],"adv.部分, 几分"
partner,[5pB:tnE],"n.合伙人, 股东, 舞伴, 伴侣//vt.与...合伙, 组成一对//vi.做伙伴, 当助手"
party,[5pB:ti],"n.党, 政党, 随行人员, [律]当事人, 社交会"
pass,[pB:s],"n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格//vt.通过, 审查通过, 忽略, 传递//vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌"
passage,[5pAsidV],"n.通过, 经过, 通道, 通路, (一)段, (一)节"
passenger,[5pAsindVE],"n.乘客, 旅客"
passion,[5pAFEn],"n.激情, 热情"
passive,[5pAsiv],adj.被动的
passport,[5pB:spC:t],n.护照
past,[pB:st],"n.过去, 往时//adj.过去的, 结束的//prep.越过, 晚于//vbl.pass的过去分词"
paste,[peist],"n.糊, 面团, 黏土团//vt.用浆糊粘, 张贴//n.粘贴"
pat,[pAt],"n.轻拍, (黄油)小块//v.轻拍//adv.适时, 正好, 恰好//adj.恰好的, 合适的, 人为的"
patch,[pAtF],"n.片, 补缀, 碎片, 斑纹, 斑点, 小块地, 眼罩, 傻瓜//vt.修补, 补缀, 掩饰, 平息"
path,[pB:W],"n.小路, 小径, 路线, 轨道, 通道"
patience,[5peiFEns],"n.耐性, 忍耐"
patient,[5peiFEnt],"n.病人, 患者//adj.忍耐的, 耐心的"
pattern,[5pAtEn],"n.模范, 式样, 模式, 样品, 格调, 图案//vt.模仿, 仿造, 以图案装饰//vi.形成图案"
pause,[pC:z],"n.中止, 暂停, 休止符//vi.暂停, 中止, 停顿, 踌躇//n.暂停//n.DOS命令：暂停批文件处理, 在继续处理之前等待按任一键"
paw,[pC:],"n.手掌, 手爪//v.以蹄扒地, 抓, 笨拙地使用, 费力地前进, (人)用手笨拙地摸//abbr.[军] Plasma-Arc Welding, 等离子弧焊"
pay,[pei],"n.薪水, 工资//v.支付, 交纳, 给予, 有利, 值得, 合算"
payment,[5peimEnt],"n.付款, 支付, 报酬, 偿还, 报应, 惩罚"
pea,[pi:],n.豌豆
peace,[pi:s],"n.和平, 和睦, 安宁, 静寂//vi.安静下来"
peaceful,[5pi:sful],"adj.和平的, 平静的, 安宁的, 爱好和平的"
peach,[pi:tF],"n.桃子, 桃树, 桃色, <美俚>受人喜欢的人(或物)//vt.告发//vi.告密"
peak,[pi:k],"n.山顶, 顶点, 帽舌, (记录的)最高峰//adj.最高的//vi.到达最高点, 消瘦, 缩小//vt.使竖起, 使达到最高点"
pear,[pZE],"n.梨子, 梨树"
peasant,[5pezEnt],"n.农夫, 乡下人"
peculiar,[pi5kju:ljE],"adj.奇特的, 罕见的, 特殊的//n.特有财产, 特权"
pen,[pen],"n.钢笔, 围栏, 围圈, 作家//vt.写, 关入栏中"
pencil,[5pensl],n.铅笔
penetrate,[5penitreit],"vt.穿透, 渗透, 看穿, 洞察//vi.刺入, 看穿, 渗透, 弥漫"
penny,[5peni],"n.便士, <美> 分"
people,[5pi:pl],"n.人, 人们, 民族, 人类, 公民//vt.使住（满）人"
per,[pE:; pE],"prep.每, 每一, 由, 经"
perceive,[pE5si:v],"vt.察觉//v.感知, 感到, 认识到"
percent,[pE5sent],"n.百分比, 百分数"
percentage,[pE5sentidV],"n.百分数, 百分率, 百分比"
perfect,[5pE:fikt],"n.完成式//adj.完美的, 全然的, 理想的, 正确的, 熟练的, 精通的完成式的//vt.使完美, 修改, 使熟练"
perform,[pE5fC:m],"vt.履行, 执行, 表演, 演出//v.完成任务"
performance,[pE5fC:mEns],"n.履行, 执行, 成绩, 性能, 表演, 演奏"
perhaps,[pE5hAps],"adv.或许, 多半"
period,[5piEriEd],"n.时期, 学时, 节, 句点, 周期, （妇女的）经期//adj.过去某段时期的//int.没有了"
permanent,[5pE:mEnEnt],"adj.永久的, 持久的"
permission,[pE(:)5miFEn],"n.许可, 允许"
permit,[pE(:)5mit],"n.通行证, 许可证, 执照//v.许可, 允许, 准许"
persist,[pE(:)5sist],"vi.坚持, 持续"
person,[5pE:sn],"n.人, 身体, 容貌, [语法]人称"
personal,[5pE:sEnl],"adj.私人的, 个人的, 亲自的, 容貌的, 身体的, 人身的, 针对个人的//adj.[语法]人称的"
personnel,[7pE:sE5nel],"n.人员, 职员"
perspective,[pE5spektiv],"n.透视画法, 透视图, 远景, 前途, 观点, 看法, 观点, 观察"
persuade,[pE5sweid],"v.说服, 劝说, (使)相信, 劝某人做(不做)某事"
pessimistic,[7pesi5mistik],"adj.悲观的, 厌世的"
pet,[pet],"n.宠物, 受宠爱的人, 不悦//adj.宠爱的, 亲昵的//vt.宠爱//vi.拥抱, 爱抚, 生气, 发脾气"
petrol,[5petrEl],n.<英>汽油（=<美>gasoline）
petroleum,[pi5trEuliEm],n.石油
phase,[feiz],"n.阶段, 状态, 相, 相位//v.定相"
phenomenon,[fi5nCminEn],n.现象
philosopher,[fi5lCsEfE],"n.哲学家, 哲人"
philosophy,[fi5lCsEfi],"n.哲学, 哲学体系, 达观, 冷静"
phone,[fEun],"n.电话, 电话机//v.(给...)打电话"
photo,[5fEutEu],n.照片
photograph,[5fEutEgrB:f; -grAf],n.照片
phrase,[freiz],"n.短语, 习语, 惯用语, 成语, 措词//vt.用短语表达"
physical,[5fizikEl],"adj.身体的, 物质的, 自然的, 物理的//n.体格检查"
physician,[fi5ziFEn],"n.医师, 内科医师"
physicist,[5fizisist],"n.物理学者, 唯物论者"
physics,[5fiziks],n.物理学
piano,[pi5B:nEu; 5pjB:-],n.钢琴
pick,[pik],"n.精选, 掘, 鹤嘴锄//vt.摘, 掘, 凿, 挑选, 挖, 挑剔//vi.摘, 掘, 凿, 挖, 挑选//v.拾取"
picnic,[5piknik],n.野餐//vi.(去)野餐
picture,[5piktFE],"n.画, 图画, 照片, 像, 美景, 描述, 相似物, 化身//vt.画, 描绘"
pie,[pai],"n.馅饼, 杂乱, 喜鹊, 爱说话的人//vt.弄乱"
piece,[pi:s],"n.块, 件, 片, 篇, 张, 条, 硬币//vt.接合, 修补, 凑合"
pierce,[piEs],"vt.刺穿, 刺破, 穿透, 突破, 深深感动"
pig,[pig],"n.猪, 猪肉, 贪婪的人//v.生小猪, 贪婪地吃"
pigeon,[5pidVin],n.鸽子
pile,[pail],"n.堆, 大堆, 高大建筑, <美口>大量钱财, <美>[核]反应堆, [电]电池组//vi.堆起, 堆积, 积累, 挤//vt.堆于, 累积, 堆叠, 打桩于, 用桩支撑"
pill,[pil],"n.药丸, 口服避孕药, 弹丸"
pillar,[5pilE],"n.[建] 柱子, 栋梁, 重要的支持者"
pillow,[5pilEu],"n.枕头, 枕垫"
pilot,[5pailEt],"n.飞行员, 领航员, 引水员//vt.驾驶(飞机等), 领航, 引水//v.驾驶"
pin,[pin],"n.钉, 销, 栓, 大头针, 别针, 腿//vt.钉住, 别住, 阻止, 扣牢, 止住, 牵制"
pinch,[pintF],"n.捏, 撮, 收缩, 紧急关头, 匮乏, 压力//vt.掐, 夹痛, 修剪, 勒索, 使感缺乏, 使萎缩, 偷//vi.收缩, 节省"
pine,[pain],"n.松树, 树木//v.消瘦, 憔悴, 渴望, 渴慕"
pink,[piNk],"n.粉红色, 石竹花, 化身, 极致, 精华//adj.粉红的//vt.刺, 扎, 刺痛, 使变粉红色//vi.变粉红色"
pint,[paint],n.品脱
pioneer,[7paiE5niE],"n.先驱, 倡导者, 先遣兵, 先锋"
pipe,[paip],"n.管, 导管, 烟斗, 管乐器, 笛声//vt.以管输送, 吹哨子//vi.吹笛, 尖叫"
pit,[pit],"n.深坑, 深渊, 陷阱, （物体或人体表面上的）凹陷, (英国剧场的)正厅后排、正厅后排的观众//vt.窖藏, 使凹下, 去...之核, 使留疤痕, 使竞争//vi.起凹点, 凹陷"
pitch,[pitF],"n.程度, 斜度, 树脂, 投掷, 定调, (船只)前后颠簸, 倾斜, 沥青//vt.投, 掷, 向前倾跌, 定位于, 用沥青涂, 扎营//vi.搭帐篷, 投掷, 坠落, 倾斜"
pity,[5piti],"v.(觉得)可怜//n.憾事, 怜悯, 同情"
place,[pleis],"n.地方, 地点, 位置, 职位, 处境, 住所, 地位//vt.放置, 寄予, 任命//vi.名次列前"
plain,[plein],"n.平原, 草原//adj.简单的, 明白的, 平常的, 清晰的, 普通的, 朴素的//adv.清楚地//n.[计] 无格式"
plan,[plAn],"n.计划, 设计图, 平面图//vt.计划, 设计"
plane,[plein],"n.平面, 飞机, 水平, 程度, 刨//adj.平的, 平面的//v.刨, 刨平"
planet,[5plAnit],n.[天]行星
plant,[plB:nt],"n.植物, 庄稼, 工厂, 车间, 设备//vt.种植, 栽培, 培养, 安置//vi.种植"
plantation,[plAn5teiFEn],"n.耕地, 种植园, 大农场, 森林, 人造林, 殖民"
plastic,[5plAstik; plB:stik],"n.塑胶, 可塑体, 塑料制品, 整形//adj.塑胶的, 塑造的, 有可塑性的, 造形的, (外科)整形的"
plate,[pleit],"n.盘子, 金属板, 图版, 金银餐具//vt.镀（金, 银等）, 电镀, 给...装钢板"
platform,[5plAtfC:m],"n.(车站)月台, 讲台, 讲坛//平台"
play,[plei],"n.游戏, 比赛, 运动, 赌博, 剧本//v.玩, 扮演, 播放, 进行比赛//v.播放"
player,[5pleiE],"n.做游戏的人, 比赛者, 演员, 演奏者, 表演者"
playground,[5pleigraund],"n.运动场, 操场"
pleasant,[5plezEnt],"adj.令人愉快的, 舒适的"
please,[pli:z],"adj.满足的//vt.请//v.使喜欢, 中...的意, 使满足, 取悦"
pleasure,[5pleVE],"n.愉快, 快乐, 乐事, 乐趣, 意志, 愿望"
plentiful,[5plentiful],"adj.许多的, 大量的, 丰富的, 丰饶的"
plenty,[5plenti],"n.丰富, 大量"
plot,[plCt],"n.小块土地, 地区图, 图, 秘密计划(特指阴谋), (小说的)情节.结构//vt.划分, 绘图, 密谋//vi.密谋, 策划"
plough,[plau],"n.犁//v.耕, 犁, 犁耕, 费力穿过, 艰苦前进, 在考试中淘汰"
plug,[plQg],"vt.堵, 塞, 插上, 插栓//n.塞子, 插头, 插销"
plunge,[plQndV],"n.跳进, 投入//vi.投入, 跳进, 陷入//vt.使投入, 使插入, 使陷入"
plural,[5pluErEl],adj.复数的
plus,[plQs],"prep.加上//adj.正的, 加的"
pocket,[5pCkit],"n.衣袋, 口袋, 钱, 财//vt.装...在口袋里, 隐藏(感情), 据为己有, 击...入袋//adj.袖珍的, 小型的"
poem,[5pEuim; 5pEuem],"n.诗, 象诗一样, 美丽的东西"
poet,[5pEuit; 5pEuet],n.诗人
poetry,[5pEuitri; 5pEuetri],"n.诗, 作诗法, 诗意, 诗情"
point,[pCint],"n.点, 尖端, 分数, 要点, 分数//vt.弄尖, 指向, 指出, 瞄准, 加标点于//vi.指, 指向, 表明"
poison,[5pCizn],"n.毒药, 败坏道德之事, 毒害//vt.毒害, 败坏, 使中毒//vi.放毒, 下毒"
poisonous,[5pCiznEs],adj.有毒的
pole,[pEul],"n.棒, 柱, 杆, 竿, 极, 磁极, 电极//vt.用竿支撑, 用棒推//vi.撑篙"
police,[pE5li:s],"n.警察队, 警察机关, 公安部门//vt.管辖, 维持治安//adj.警察的, 有关警察的"
policeman,[pE5li:smEn],n.警察
policy,[5pClisi],"n.政策, 方针"
polish,[5pCliF],"n.磨光, 光泽, 上光剂, 优雅, 精良//vt.擦亮, 发亮, 磨光, 推敲//vi.发亮, 变光滑//adj.波兰的//n.波兰人"
polite,[pE5lait],"adj.有礼貌的, 客气的, 有教养的, 文雅的"
political,[pE5litikEl],"adj.政治的, 行政上的"
politician,[pCli5tiFEn],"n.政治家, 政客"
politics,[5pClitiks],"n.政治, 政治学, 政纲, 政见"
pollute,[pE5lu:t; -5lju:t],"vt.弄脏, 污染"
pollution,[pE5lu:FEn; -5lju:-],"n.污染, 玷污"
pond,[pCnd],n.池塘//v.筑成池塘
pool,[pu:l],"n.池, 撞球, 联营, 石油层//vt.合伙经营, 共享, 共有, 集中(钱、力量等), 采掘, 汇聚成//vi.汇合成塘, 郁积, 联营"
poor,[puE],"adj.贫穷的, 可怜的, 乏味的, 卑鄙的"
pop,[pCp],"n.取出, 砰然声, 枪击, 流行乐曲, 流行艺术//adj.流行的, 热门的, 通俗的//vt.开枪打, 抛出, 取出, 突然伸出, 突然行动//adv.突然, 砰地//vi.发出爆裂声, 爆开, 射击, 突然出现, 瞪大//n.<口>汽水//abbr.Post Office Protocol, 邮局协议,用于电子邮件的接收"
popular,[5pCpjulE],"adj.通俗的, 流行的, 受欢迎的"
population,[7pCpju5leiFEn],n.人口
